country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,"Madhya Pradesh",Gwalior,"Maharaj Bada, Gwalior - MPPCB","20-06-2026 19:00:00",26.200388,78.147714,PM10,47,147,88
India,"Madhya Pradesh",Gwalior,"Maharaj Bada, Gwalior - MPPCB","20-06-2026 19:00:00",26.200388,78.147714,NH3,5,6,5
India,"Madhya Pradesh",Indore,"Airport Area, Indore - IMC","20-06-2026 19:00:00",22.7289,75.8076,PM2.5,33,57,44
India,"Madhya Pradesh",Indore,"Airport Area, Indore - IMC","20-06-2026 19:00:00",22.7289,75.8076,NO2,45,206,60
India,"Madhya Pradesh",Indore,"Airport Area, Indore - IMC","20-06-2026 19:00:00",22.7289,75.8076,SO2,5,7,6
India,"Madhya Pradesh",Indore,"Airport Area, Indore - IMC","20-06-2026 19:00:00",22.7289,75.8076,OZONE,3,8,7
India,"Madhya Pradesh",Indore,"Maguda Nagar, Indore - IMC","20-06-2026 19:00:00",22.7524,75.8872,NO2,NA,NA,NA
India,"Madhya Pradesh",Indore,"Regional Park, Indore - IMC","20-06-2026 19:00:00",22.6780,75.8559,PM10,6,42,22
India,Karnataka,Hubballi,"Lingaraj Nagar, Hubballi - KSPCB","20-06-2026 19:00:00",15.3714823,75.1160168,PM10,58,58,58
India,Karnataka,Hubballi,"Lingaraj Nagar, Hubballi - KSPCB","20-06-2026 19:00:00",15.3714823,75.1160168,CO,8,14,10
India,Karnataka,Kalaburagi,"Mahatma Basaveswar Colony, Kalaburgi - KSPCB","20-06-2026 19:00:00",17.336318,76.847397,NO2,10,17,14
India,Karnataka,Kalaburagi,"Mahatma Basaveswar Colony, Kalaburgi - KSPCB","20-06-2026 19:00:00",17.336318,76.847397,SO2,2,4,3
India,Karnataka,Madikeri,"Stuart Hill, Madikeri - KSPCB","20-06-2026 19:00:00",12.415911,75.735050,PM2.5,NA,NA,NA
India,Karnataka,Mangalore,"Kadri, Mangalore - KSPCB","20-06-2026 19:00:00",12.889250,74.853000,NH3,NA,NA,NA
India,Karnataka,Mysuru,"Hebbal 1st Stage, Mysuru - KSPCB","20-06-2026 19:00:00",12.21041,76.37376,PM2.5,15,43,26
India,Karnataka,Mysuru,"Hebbal 1st Stage, Mysuru - KSPCB","20-06-2026 19:00:00",12.21041,76.37376,NO2,4,20,16
India,Karnataka,Mysuru,"Hebbal 1st Stage, Mysuru - KSPCB","20-06-2026 19:00:00",12.21041,76.37376,OZONE,5,55,48
India,Karnataka,Ramanagara,"Vijay Nagar, Ramanagara - KSPCB","20-06-2026 19:00:00",12.733409,77.298051,PM2.5,19,63,44
India,Karnataka,Ramanagara,"Vijay Nagar, Ramanagara - KSPCB","20-06-2026 19:00:00",12.733409,77.298051,NO2,NA,NA,NA
India,Karnataka,Ramanagara,"Vijay Nagar, Ramanagara - KSPCB","20-06-2026 19:00:00",12.733409,77.298051,CO,14,42,29
India,Karnataka,Shivamogga,"Vinoba Nagara, Shivamogga - KSPCB","20-06-2026 19:00:00",13.940000,75.555917,NH3,2,5,3
India,Karnataka,Shivamogga,"Vinoba Nagara, Shivamogga - KSPCB","20-06-2026 19:00:00",13.940000,75.555917,SO2,2,10,3
India,"Madhya Pradesh",Pithampur,"Sector-2 Industrial Area, Pithampur - MPPCB","20-06-2026 19:00:00",22.624758,75.675238,SO2,NA,NA,NA
